"","#","Currency","Pair","Volume (24h)","Price","Volume (%)","Category","Fee Type","Updated","""Binance""","Sys.Date()"
"1",1,"Bitcoin","BTC/USDT","$83,815,739","$3487.95","16.03%","Spot","Percentage","Recently","Binance",2019-01-30
"2",2,"XRP","XRP/USDT","$41,739,824","$0.320697","7.98%","Spot","Percentage","Recently","Binance",2019-01-30
"3",3,"Ethereum","ETH/USDT","$35,604,279","$109.07","6.81%","Spot","Percentage","Recently","Binance",2019-01-30
"4",4,"XRP","XRP/BTC","$34,294,822","$0.320566","6.56%","Spot","Percentage","Recently","Binance",2019-01-30
"5",5,"Ethereum","ETH/BTC","$21,364,076","$108.97","4.09%","Spot","Percentage","Recently","Binance",2019-01-30
"6",6,"TRON","TRX/USDT","$18,750,248","$0.027491","3.59%","Spot","Percentage","Recently","Binance",2019-01-30
"7",7,"Binance Coin","BNB/USDT","$14,112,145","$6.17","2.70%","Spot","Percentage","Recently","Binance",2019-01-30
"8",8,"TRON","TRX/BTC","$13,510,429","$0.027463","2.58%","Spot","Percentage","Recently","Binance",2019-01-30
"9",9,"Waves","WAVES/BTC","$13,412,448","$2.91","2.57%","Spot","Percentage","Recently","Binance",2019-01-30
"10",10,"Binance Coin","BNB/BTC","$11,556,296","$6.17","2.21%","Spot","Percentage","Recently","Binance",2019-01-30
"11",11,"Bitcoin Cash","BCHABC/USDT","$10,886,643","$118.61","2.08%","Spot","Percentage","Recently","Binance",2019-01-30
"12",12,"Holo","HOT/BTC","$9,551,109","$0.001150","1.83%","Spot","Percentage","Recently","Binance",2019-01-30
"13",13,"TrueUSD","TUSD/BTC","$8,593,826","$1.01","1.64%","Spot","Percentage","Recently","Binance",2019-01-30
"14",14,"Bitcoin","BTC/PAX","$7,443,926","$3477.82","1.42%","Spot","Percentage","Recently","Binance",2019-01-30
"15",15,"Stellar","XLM/BTC","$7,337,256","$0.085770","1.40%","Spot","Percentage","Recently","Binance",2019-01-30
"16",16,"EOS","EOS/USDT","$6,520,832","$2.34","1.25%","Spot","Percentage","Recently","Binance",2019-01-30
"17",17,"Bitcoin Cash","BCHABC/BTC","$5,580,235","$118.53","1.07%","Spot","Percentage","Recently","Binance",2019-01-30
"18",18,"Chainlink","LINK/BTC","$5,346,065","$0.425803","1.02%","Spot","Percentage","Recently","Binance",2019-01-30
"19",19,"Stellar","XLM/USDT","$5,130,124","$0.085863","0.98%","Spot","Percentage","Recently","Binance",2019-01-30
"20",20,"Cardano","ADA/USDT","$4,550,011","$0.039762","0.87%","Spot","Percentage","Recently","Binance",2019-01-30
"21",21,"TrueUSD","TUSD/USDT","$4,463,927","$1.01","0.85%","Spot","Percentage","Recently","Binance",2019-01-30
"22",22,"Waves","WAVES/USDT","$4,410,929","$2.91","0.84%","Spot","Percentage","Recently","Binance",2019-01-30
"23",23,"Litecoin","LTC/USDT","$3,987,567","$31.98","0.76%","Spot","Percentage","Recently","Binance",2019-01-30
"24",24,"Paxos Standard Token","PAX/USDT","$3,985,805","$1.01","0.76%","Spot","Percentage","Recently","Binance",2019-01-30
"25",25,"Litecoin","LTC/BTC","$3,940,777","$31.98","0.75%","Spot","Percentage","Recently","Binance",2019-01-30
"26",26,"Ethereum","ETH/PAX","$3,698,781","$108.77","0.71%","Spot","Percentage","Recently","Binance",2019-01-30
"27",27,"Cardano","ADA/BTC","$3,546,910","$0.039696","0.68%","Spot","Percentage","Recently","Binance",2019-01-30
"28",28,"Bitcoin SV","BCHSV/USDT","$3,418,392","$66.32","0.65%","Spot","Percentage","Recently","Binance",2019-01-30
"29",29,"Bitcoin","BTC/USDC","$3,251,031","$3486.33","0.62%","Spot","Percentage","Recently","Binance",2019-01-30
"30",30,"Mainframe","MFT/BTC","$3,199,441","$0.003032","0.61%","Spot","Percentage","Recently","Binance",2019-01-30
"31",31,"Holo","HOT/ETH","$3,125,632","$0.001151","0.60%","Spot","Percentage","Recently","Binance",2019-01-30
"32",32,"EOS","EOS/BTC","$3,025,985","$2.34","0.58%","Spot","Percentage","Recently","Binance",2019-01-30
"33",33,"TRON","TRX/XRP","$2,810,500","$0.027270","0.54%","Spot","Percentage","Recently","Binance",2019-01-30
"34",34,"Zilliqa","ZIL/BTC","$2,788,087","$0.020493","0.53%","Spot","Percentage","Recently","Binance",2019-01-30
"35",35,"Pundi X","NPXS/BTC","$2,775,240","$0.000627","0.53%","Spot","Percentage","Recently","Binance",2019-01-30
"36",36,"Everex","EVX/BTC","$2,766,726","$0.353720","0.53%","Spot","Percentage","Recently","Binance",2019-01-30
"37",37,"XRP","XRP/ETH","$2,746,421","$0.320033","0.53%","Spot","Percentage","Recently","Binance",2019-01-30
"38",38,"NEO","NEO/USDT","$2,660,700","$7.12","0.51%","Spot","Percentage","Recently","Binance",2019-01-30
"39",39,"Red Pulse Phoenix","PHX/BTC","$2,535,857","$0.008819","0.49%","Spot","Percentage","Recently","Binance",2019-01-30
"40",40,"Bitcoin SV","BCHSV/BTC","$2,452,324","$66.31","0.47%","Spot","Percentage","Recently","Binance",2019-01-30
"41",41,"USD Coin","USDC/USDT","$2,386,644","$1.01","0.46%","Spot","Percentage","Recently","Binance",2019-01-30
"42",42,"XRP","XRP/TUSD","$2,249,372","$0.320101","0.43%","Spot","Percentage","Recently","Binance",2019-01-30
"43",43,"Pundi X","NPXS/ETH","$2,167,995","$0.000648","0.41%","Spot","Percentage","Recently","Binance",2019-01-30
"44",44,"Ontology","ONT/USDT","$2,142,680","$0.553655","0.41%","Spot","Percentage","Recently","Binance",2019-01-30
"45",45,"Metal","MTL/BTC","$2,087,915","$0.247479","0.40%","Spot","Percentage","Recently","Binance",2019-01-30
"46",46,"NEO","NEO/BTC","$1,817,903","$7.11","0.35%","Spot","Percentage","Recently","Binance",2019-01-30
"47",47,"Aeron","ARN/BTC","$1,764,291","$0.276444","0.34%","Spot","Percentage","Recently","Binance",2019-01-30
