"","#","Name","Adj. Vol (24h)*","Volume (24h)","Volume (7d)","Volume (30d)","No. Markets","Change (24h)","Vol Graph (7d)","Launched","Sys.Date()"
"1",1,"Binance","$522,809,675","$522,809,675","$2,285,720,807","$17,556,087,587",430,"0.74%",NA,"Jul 2017",2019-01-30
"2",2,"OKEx","$413,328,920","$413,328,920","$1,694,985,541","$14,360,892,235",419,"6.00%",NA,"Jan 2014",2019-01-30
"3",3,"Huobi Global","$398,002,215","$398,002,215","$1,242,883,821","$10,127,061,086",396,"17.31%",NA,"Sep 2013",2019-01-30
"4",4,"ZB.COM","$388,439,884","$403,314,587","$1,496,581,615","$10,054,687,467",93,"5.08%",NA,"Nov 2017",2019-01-30
"5",5,"DigiFinex","$380,870,353","$380,870,353","$1,356,571,657","$9,871,159,507",121,"6.52%",NA,"Apr 2018",2019-01-30
"6",6,"CoinBene","$329,882,092","$329,882,092","$1,315,489,935","$9,161,995,414",190,"3.40%",NA,"Sep 2017",2019-01-30
"7",7,"Bit-Z","$322,549,492","$322,549,492","$1,454,450,461","$11,965,219,946",161,"1.93%",NA,"Jun 2016",2019-01-30
"8",8,"Bibox","$322,420,113","$322,420,113","$1,278,313,901","$8,330,411,551",195,"1.97%",NA,"Nov 2017",2019-01-30
"9",9,"BitForex","$306,726,292","$307,149,179","$1,099,205,565","$6,280,991,880",144,"30.56%",NA,"Jun 2018",2019-01-30
"10",10,"LBank","$304,302,338","$304,302,338","$1,187,282,893","$9,478,377,167",98,"8.91%",NA,"Oct 2017",2019-01-30
"11",11,"IDAX","$297,146,882","$297,146,882","$1,099,592,922","$6,453,629,860",142,"6.25%",NA,"Dec 2017",2019-01-30
"12",12,"HitBTC","$276,975,755","$276,976,026","$1,185,872,251","$6,886,827,583",773,"0.31%",NA,"Feb 2014",2019-01-30
"13",13,"BW","$274,021,977","$274,021,977","$902,775,296","$2,791,153,839",33,"1.27%",NA,"Jan 2017",2019-01-30
"14",14,"Coineal","$269,410,490","$269,410,490","$1,002,600,795","$5,030,742,246",57,"-6.25%",NA,"Apr 2018",2019-01-30
"15",15,"DOBI Exchange","$269,126,168","$269,126,168","$814,607,237","$3,503,245,122",15,"3.28%",NA,"May 2018",2019-01-30
"16",16,"Fatbtc","$266,186,447","$266,186,447","$916,930,384","$4,781,787,197",68,"10.93%",NA,"May 2014",2019-01-30
"17",17,"BCEX","$259,894,024","$259,894,024","$918,553,835","$5,596,382,939",70,"4.12%",NA,"Aug 2017",2019-01-30
"18",18,"P2PB2B","$244,372,692","$244,372,692","$797,044,822","$3,489,935,209",66,"10.99%",NA,"Jan 2018",2019-01-30
"19",19,"Cryptonex","$244,076,536","$244,076,536","$833,277,894","$5,051,678,161",56,"-0.58%",NA,"Oct 2017",2019-01-30
"20",20,"OEX","$226,535,533","$226,552,618","$942,415,698","$5,326,441,949",14,"-5.38%",NA,"Sep 2017",2019-01-30
"21",21,"BitMart","$207,875,909","$207,875,909","$758,381,870","$5,849,525,275",122,"-14.30%",NA,"Mar 2018",2019-01-30
"22",22,"CHAOEX","$202,262,403","$202,262,403","$817,114,026","$2,983,312,645",52,"-32.20%",NA,"Jul 2017",2019-01-30
"23",23,"Coinsuper","$182,051,736","$182,051,736","$771,295,154","$4,512,600,086",91,"-9.89%",NA,"Feb 2018",2019-01-30
"24",24,"LATOKEN","$181,368,351","$181,368,351","$596,789,260","$2,931,802,114",101,"1.27%",NA,"Jul 2017",2019-01-30
"25",25,"RightBTC","$177,124,884","$177,124,884","$647,046,333","$3,428,685,383",52,"-7.77%",NA,"Jul 2014",2019-01-30
"26",26,"Simex","$169,173,181","$169,173,181","$654,268,000","$4,822,948,981",9,"6.56%",NA,"Feb 2015",2019-01-30
"27",27,"Exrates","$162,036,924","$162,036,924","$623,947,382","$4,328,100,217",120,"0.15%",NA,"Apr 2016",2019-01-30
"28",28,"UPbit","$150,413,154","$150,413,154","$400,294,797","$4,777,906,374",292,"66.44%",NA,"Oct 2017",2019-01-30
"29",29,"IDCM","$145,488,130","$145,488,130","$484,355,284","$2,965,233,713",53,"-26.67%",NA,"Apr 2018",2019-01-30
"30",30,"CoinTiger","$144,824,620","$144,824,620","$404,454,379","$2,954,898,079",72,"16.59%",NA,"Dec 2017",2019-01-30
"31",31,"Bitfinex","$140,847,621","$140,847,621","$459,955,694","$4,450,520,730",105,"43.43%",NA,"Oct 2012",2019-01-30
"32",32,"DragonEX","$131,389,575","$131,742,012","$539,300,725","$3,752,157,574",90,"0.80%",NA,"Nov 2017",2019-01-30
"33",33,"Bitinka","$98,360,189","$98,360,189","$290,276,202","$1,644,718,772",107,"18.62%",NA,"Dec 2014",2019-01-30
"34",34,"55 Global Mar...","$93,883,416","$93,883,416","$455,134,766","$2,532,144,843",29,"28.99%",NA,"Jul 2018",2019-01-30
"35",35,"CoinMex","$90,894,534","$90,894,534","$316,869,832","$3,811,399,674",63,"4.81%",NA,"Jul 2018",2019-01-30
"36",36,"TOPBTC","$86,446,073","$86,446,073","$341,723,203","$2,403,717,443",42,"1.33%",NA,"Dec 2016",2019-01-30
"37",37,"Kraken","$84,793,081","$84,793,081","$240,785,711","$2,434,813,882",72,"17.53%",NA,"Jul 2011",2019-01-30
"38",38,"TOKOK","$79,955,117","$80,017,300","$319,507,791","$1,516,745,620",47,"-0.16%",NA,"Jun 2018",2019-01-30
"39",39,"Hotbit","$76,641,389","$76,641,389","$348,742,951","$1,891,015,566",321,"-1.98%",NA,"Jan 2018",2019-01-30
